Source,Word,Condition,p.Include,conf.Lower,conf.Upper
Human,Subject,1_6,0.1923077,0.1373626,0.2473901
Human,Subject,2_5,0.4230769,0.3516484,0.4945055
Human,Subject,3_4,0.4450549,0.3791209,0.521978
Human,Subject,4_3,0.5164835,0.4395604,0.5879121
Human,Subject,5_2,0.5054945,0.4395604,0.5769231
Human,Subject,6_1,0.5824176,0.510989,0.6593407
Human,Object,1_6,0.7857143,0.7252747,0.8406593
Human,Object,2_5,0.7142857,0.6428571,0.7802198
Human,Object,3_4,0.6593407,0.5879121,0.7252747
Human,Object,4_3,0.6703297,0.5989011,0.7417582
Human,Object,5_2,0.5879121,0.5218407,0.6593407
Human,Object,6_1,0.4725275,0.4010989,0.5494505
Human,Verb,1_6,0.7967033,0.7417582,0.8516484
Human,Verb,2_5,0.6428571,0.5659341,0.7197802
Human,Verb,3_4,0.6153846,0.543956,0.681456
Human,Verb,4_3,0.5989011,0.5274725,0.6648352
Human,Verb,5_2,0.7142857,0.6483516,0.7747253
Human,Verb,6_1,0.7637363,0.6978022,0.8241758
Model.v50,Subject,1_6,0.14492,,
Model.v50,Subject,2_5,0.28909,,
Model.v50,Subject,3_4,0.43254,,
Model.v50,Subject,4_3,0.57533,,
Model.v50,Subject,5_2,0.71748,,
Model.v50,Subject,6_1,0.85902,,
Model.v50,Object,1_6,0.85902,,
Model.v50,Object,2_5,0.71748,,
Model.v50,Object,3_4,0.57533,,
Model.v50,Object,4_3,0.43254,,
Model.v50,Object,5_2,0.28909,,
Model.v50,Object,6_1,0.14492,,
Model.v50,Verb,1_6,0.99606,,
Model.v50,Verb,2_5,0.99344,,
Model.v50,Verb,3_4,0.99213,,
Model.v50,Verb,4_3,0.99213,,
Model.v50,Verb,5_2,0.99344,,
Model.v50,Verb,6_1,0.99606,,
Model.v5,Subject,1_6,0.22619,,
Model.v5,Subject,2_5,0.40476,,
Model.v5,Subject,3_4,0.55357,,
Model.v5,Subject,4_3,0.68254,,
Model.v5,Subject,5_2,0.79762,,
Model.v5,Subject,6_1,0.9026,,
Model.v5,Object,1_6,0.9026,,
Model.v5,Object,2_5,0.79762,,
Model.v5,Object,3_4,0.68254,,
Model.v5,Object,4_3,0.55357,,
Model.v5,Object,5_2,0.40476,,
Model.v5,Object,6_1,0.22619,,
Model.v5,Verb,1_6,0.87121,,
Model.v5,Verb,2_5,0.79762,,
Model.v5,Verb,3_4,0.76389,,
Model.v5,Verb,4_3,0.76389,,
Model.v5,Verb,5_2,0.79762,,
Model.v5,Verb,6_1,0.87121,,
