1.35E+12,paycode,itemNo,stimNo,verb,sentence,trialVersion,prepSentence,exposePicture,actionPicture,word1,word2,mistakeFlag,responseTime,word1.clean,word2.clean
1.35E+12,a14f6a66a6a17,0,2,EAT,The monkey eats the orange.,patient,"In the next scene, there is a banana, a monkey and an orange.",http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-action.jpg,orange,eaten,none,18.454,orange,eat
1.35E+12,a14f6a66a6a17,1,3,FEED,The girl feeds the dog.,agent,"In the next scene, there is a boy, a girl and a dog.",http://tedlab.mit.edu/~mekline/SDPictures/FEED-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/FEED-agent-action.jpg,dog,food,none,22.123,dog,food
1.35E+12,a14f6a66a6a17,3,4,READ,The boy reads the book.,agent,"In the next scene, there is a girl, a boy and a book.",http://tedlab.mit.edu/~mekline/SDPictures/READ-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/READ-agent-action.jpg,book,read,none,11.085,book,read
1.35E+12,a14f6a66a6a17,2,5,ROLL,The baby rolls the ball.,agent,"In the next scene, there is a grandma, a baby and a ball.",http://tedlab.mit.edu/~mekline/SDPictures/ROLL-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/ROLL-agent-action.jpg,ball,rolls,none,12.736,ball,roll
1.35E+12,a14f6a66a6a17,4,6,WASH,The duck washes the bowl.,patient,"In the next scene, there is a spoon, a duck and a bowl.",http://tedlab.mit.edu/~mekline/SDPictures/WASH-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/WASH-patient-action.jpg,bowl,held,none,11.782,bowl,hold
1.35E+12,a334b59866a56,2,1,DRINK,The grandma drinks juice.,patient,"In the next scene, there is some milk, a grandma and some juice.",http://tedlab.mit.edu/~mekline/SDPictures/DRINK-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/DRINK-patient-action.jpg,Drank,juice,none,9.62,drink,juice
1.35E+12,a334b59866a56,1,2,EAT,The monkey eats the orange.,patient,"In the next scene, there is a banana, a monkey and an orange.",http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/EAT-patient-action.jpg,Orange,eaten,none,11.768,orange,eat
1.35E+12,a334b59866a56,3,3,FEED,The girl feeds the dog.,agent,"In the next scene, there is a boy, a girl and a dog.",http://tedlab.mit.edu/~mekline/SDPictures/FEED-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/FEED-agent-action.jpg,Girl,feeds,none,8.552,girl,feed
1.35E+12,a334b59866a56,5,4,READ,The boy reads the book.,agent,"In the next scene, there is a girl, a boy and a book.",http://tedlab.mit.edu/~mekline/SDPictures/READ-agent-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/READ-agent-action.jpg,Boy,reads,none,6.834,boy,read
1.35E+12,a334b59866a56,4,5,ROLL,The baby rolls the ball.,patient,"In the next scene, there is a tire, a baby and a ball.",http://tedlab.mit.edu/~mekline/SDPictures/ROLL-patient-expose.jpg,http://tedlab.mit.edu/~mekline/SDPictures/ROLL-patient-action.jpg,Rolled,ball,none,7.07,roll,ball
