word1_CODED,word2_CODED
AGENT,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,OBJECT
OTHER,OTHER
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,VERB
OTHER,OTHER
AGENT,VERB
OBJECT,AGENT
AGENT,OBJECT
VERB,OTHER
AGENT,OBJECT
AGENT,OTHER
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,VERB
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
OTHER,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
OTHER,OBJECT
VERB,OTHER
AGENT,OBJECT
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
OTHER,OBJECT
AGENT,OBJECT
AGENT,OBJECT
OTHER,OBJECT
AGENT,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,VERB
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
OBJECT,VERB
AGENT,VERB
VERB,OBJECT
OTHER,OTHER
VERB,OBJECT
OTHER,OTHER
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,OBJECT
OBJECT,OTHER
AGENT,VERB
AGENT,OBJECT
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,OBJECT
OBJECT,OTHER
VERB,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,OBJECT
OTHER,OBJECT
OTHER,OBJECT
AGENT,OBJECT
AGENT,VERB
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,VERB
OTHER,OBJECT
AGENT,OBJECT
VERB,OBJECT
OBJECT,OTHER
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
AGENT,OTHER
OTHER,OTHER
OTHER,OTHER
OTHER,OBJECT
VERB,OBJECT
AGENT,OTHER
AGENT,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,VERB
AGENT,OBJECT
AGENT,VERB
VERB,OTHER
AGENT,VERB
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OTHER
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,VERB
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
OBJECT,VERB
OTHER,OBJECT
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,OTHER
VERB,OBJECT
AGENT,VERB
OTHER,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,VERB
AGENT,VERB
OBJECT,OTHER
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
OTHER,OTHER
OBJECT,OTHER
OTHER,OTHER
OBJECT,OTHER
AGENT,VERB
VERB,OBJECT
OTHER,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,OTHER
AGENT,VERB
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,OBJECT
OTHER,OBJECT
AGENT,VERB
AGENT,VERB
OBJECT,OTHER
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
OTHER,OTHER
VERB,OBJECT
AGENT,OTHER
AGENT,VERB
AGENT,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,VERB
AGENT,VERB
AGENT,VERB
VERB,OBJECT
AGENT,VERB
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,OTHER
VERB,OBJECT
AGENT,VERB
OTHER,OBJECT
OTHER,OTHER
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
OTHER,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,VERB
OTHER,OTHER
AGENT,VERB
AGENT,VERB
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,OTHER
VERB,OBJECT
AGENT,VERB
VERB,OTHER
AGENT,OTHER
OBJECT,OTHER
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
OTHER,OBJECT
AGENT,VERB
AGENT,OBJECT
VERB,OBJECT
OTHER,OBJECT
OTHER,OTHER
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
OTHER,OTHER
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
OTHER,OBJECT
OBJECT,VERB
AGENT,VERB
VERB,OBJECT
AGENT,VERB
AGENT,VERB
OTHER,OBJECT
VERB,OBJECT
OTHER,OTHER
AGENT,VERB
AGENT,VERB
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
OBJECT,VERB
AGENT,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,VERB
OTHER,OBJECT
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
OTHER,OTHER
AGENT,VERB
OTHER,OTHER
AGENT,VERB
AGENT,VERB
OTHER,OTHER
AGENT,OBJECT
OBJECT,VERB
AGENT,VERB
AGENT,OBJECT
AGENT,VERB
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
OTHER,OTHER
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,VERB
VERB,OBJECT
OTHER,OBJECT
AGENT,VERB
AGENT,OBJECT
OTHER,OBJECT
OTHER,OTHER
AGENT,VERB
OTHER,OTHER
OTHER,OTHER
AGENT,VERB
OTHER,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,VERB
AGENT,VERB
AGENT,VERB
AGENT,VERB
AGENT,VERB
AGENT,OBJECT
AGENT,OTHER
AGENT,VERB
AGENT,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,OBJECT
AGENT,OBJECT
AGENT,VERB
AGENT,VERB
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
OTHER,OTHER
AGENT,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,OBJECT
OBJECT,AGENT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
OTHER,OBJECT
VERB,OBJECT
AGENT,OBJECT
OBJECT,VERB
AGENT,VERB
AGENT,OBJECT
AGENT,OBJECT
VERB,OBJECT
OTHER,VERB
VERB,OBJECT
OTHER,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,OBJECT
OTHER,OBJECT
AGENT,VERB
AGENT,OBJECT
OTHER,OTHER
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
OTHER,OTHER
AGENT,OBJECT
VERB,OTHER
AGENT,VERB
AGENT,OBJECT
VERB,OTHER
AGENT,VERB
VERB,OBJECT
AGENT,OBJECT
AGENT,OTHER
OTHER,OTHER
AGENT,OBJECT
AGENT,OBJECT
OTHER,OTHER
AGENT,OBJECT
AGENT,VERB
AGENT,OBJECT
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,VERB
AGENT,VERB
AGENT,VERB
OTHER,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
OTHER,OTHER
AGENT,OTHER
AGENT,VERB
AGENT,OBJECT
VERB,OBJECT
OTHER,OTHER
AGENT,OBJECT
OTHER,OTHER
OTHER,OBJECT
OBJECT,VERB
AGENT,OBJECT
VERB,OBJECT
AGENT,OTHER
VERB,OBJECT
AGENT,VERB
OBJECT,VERB
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,OBJECT
OTHER,OTHER
VERB,OBJECT
AGENT,OBJECT
AGENT,OTHER
OBJECT,VERB
OBJECT,VERB
OTHER,OTHER
AGENT,VERB
AGENT,VERB
OTHER,OBJECT
AGENT,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,VERB
AGENT,VERB
OTHER,OBJECT
AGENT,OBJECT
OTHER,OTHER
AGENT,OTHER
OTHER,OTHER
OTHER,OTHER
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
OTHER,OTHER
VERB,OBJECT
OTHER,OTHER
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,VERB
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
OTHER,OBJECT
AGENT,VERB
AGENT,OBJECT
AGENT,OBJECT
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,VERB
VERB,OBJECT
AGENT,VERB
AGENT,OBJECT
OBJECT,VERB
VERB,OBJECT
AGENT,OBJECT
AGENT,VERB
AGENT,OBJECT
AGENT,OTHER
AGENT,VERB
OBJECT,VERB
AGENT,VERB
VERB,OBJECT
OTHER,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,OBJECT
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
OBJECT,OTHER
VERB,OBJECT
VERB,OBJECT
OTHER,OTHER
OTHER,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,VERB
OTHER,OTHER
OTHER,OTHER
AGENT,VERB
OTHER,OBJECT
AGENT,OBJECT
AGENT,VERB
AGENT,VERB
OTHER,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
OTHER,OBJECT
VERB,OBJECT
AGENT,OBJECT
OTHER,OTHER
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
AGENT,OTHER
OTHER,OBJECT
AGENT,VERB
OBJECT,OTHER
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,OTHER
AGENT,VERB
VERB,OBJECT
AGENT,OBJECT
OTHER,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,VERB
OTHER,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
OTHER,OTHER
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,VERB
OBJECT,OTHER
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,OTHER
OTHER,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
OBJECT,VERB
VERB,OBJECT
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
OBJECT,OTHER
AGENT,VERB
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
AGENT,VERB
OBJECT,OTHER
OTHER,OTHER
AGENT,OBJECT
OTHER,OBJECT
OBJECT,OTHER
VERB,OBJECT
AGENT,VERB
VERB,OTHER
AGENT,VERB
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,VERB
AGENT,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,VERB
AGENT,OTHER
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,OTHER
OTHER,OTHER
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
OTHER,OTHER
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,OBJECT
OTHER,OTHER
VERB,OBJECT
OTHER,VERB
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,OBJECT
VERB,OBJECT
OTHER,OTHER
AGENT,OBJECT
AGENT,VERB
OTHER,OBJECT
AGENT,OBJECT
AGENT,OBJECT
VERB,OBJECT
OTHER,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,VERB
OBJECT,OTHER
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OTHER
OTHER,OTHER
AGENT,VERB
AGENT,OTHER
AGENT,OBJECT
AGENT,OBJECT
OTHER,OBJECT
AGENT,VERB
VERB,OBJECT
OTHER,OTHER
AGENT,OBJECT
VERB,OBJECT
OTHER,OTHER
AGENT,OBJECT
AGENT,VERB
AGENT,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,OTHER
AGENT,OBJECT
VERB,OTHER
OBJECT,OTHER
OTHER,OTHER
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,OBJECT
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
OTHER,OTHER
OTHER,OTHER
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
OTHER,OBJECT
OTHER,OBJECT
AGENT,VERB
AGENT,OBJECT
AGENT,OBJECT
OTHER,OTHER
VERB,OBJECT
OTHER,OTHER
VERB,OBJECT
OTHER,OTHER
OTHER,OTHER
OTHER,OTHER
AGENT,VERB
VERB,OBJECT
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,OBJECT
VERB,OBJECT
OTHER,OBJECT
VERB,OBJECT
OBJECT,VERB
OTHER,OTHER
OTHER,OTHER
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OTHER
AGENT,OBJECT
AGENT,VERB
OTHER,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OTHER
VERB,OBJECT
AGENT,VERB
AGENT,OBJECT
AGENT,OBJECT
OTHER,OTHER
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,OTHER
VERB,OBJECT
OTHER,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
OTHER,VERB
OBJECT,VERB
AGENT,VERB
AGENT,VERB
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
OTHER,OTHER
VERB,OBJECT
OTHER,VERB
VERB,OBJECT
VERB,OBJECT
OTHER,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,VERB
AGENT,VERB
AGENT,VERB
OTHER,OTHER
AGENT,VERB
AGENT,OBJECT
AGENT,VERB
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,OTHER
OBJECT,VERB
VERB,OBJECT
VERB,OBJECT
