word1_CODED,word2_CODED
OTHER,OTHER
AGENT,VERB
OTHER,OTHER
OTHER,OTHER
VERB,OBJECT
VERB,OBJECT
OTHER,OTHER
AGENT,VERB
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,VERB
OTHER,VERB
AGENT,VERB
VERB,OBJECT
OTHER,VERB
AGENT,VERB
VERB,OBJECT
AGENT,OTHER
AGENT,OBJECT
AGENT,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,OBJECT
VERB,OBJECT
AGENT,OTHER
AGENT,OBJECT
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
VERB,OTHER
AGENT,OBJECT
AGENT,VERB
AGENT,OBJECT
AGENT,OBJECT
OTHER,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,VERB
AGENT,VERB
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
OTHER,OTHER
AGENT,OBJECT
VERB,OBJECT
AGENT,OTHER
AGENT,OBJECT
OTHER,OBJECT
VERB,OBJECT
OTHER,OTHER
AGENT,VERB
VERB,OBJECT
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
OBJECT,OTHER
OTHER,OTHER
AGENT,VERB
VERB,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,VERB
OTHER,VERB
OTHER,OBJECT
OTHER,VERB
OBJECT,OTHER
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,OBJECT
AGENT,VERB
AGENT,VERB
AGENT,VERB
AGENT,VERB
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
OTHER,VERB
VERB,OBJECT
AGENT,OTHER
OTHER,OTHER
AGENT,VERB
OTHER,OTHER
OTHER,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,VERB
OBJECT,VERB
OBJECT,VERB
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OTHER
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
OTHER,OTHER
VERB,OBJECT
AGENT,VERB
AGENT,VERB
AGENT,VERB
OTHER,OBJECT
VERB,OBJECT
OBJECT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,OBJECT
OBJECT,VERB
VERB,OBJECT
AGENT,VERB
OTHER,OBJECT
AGENT,VERB
AGENT,VERB
VERB,OBJECT
AGENT,VERB
OBJECT,OTHER
AGENT,VERB
AGENT,VERB
AGENT,VERB
OTHER,OTHER
OBJECT,VERB
AGENT,OBJECT
OTHER,OBJECT
OTHER,OBJECT
VERB,OBJECT
AGENT,VERB
OTHER,OTHER
VERB,OBJECT
AGENT,OTHER
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,OBJECT
VERB,OBJECT
OBJECT,VERB
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,VERB
AGENT,VERB
OBJECT,VERB
AGENT,OTHER
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,OTHER
OTHER,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,OBJECT
AGENT,VERB
AGENT,VERB
AGENT,OBJECT
VERB,OBJECT
OTHER,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,OTHER
AGENT,OBJECT
AGENT,VERB
AGENT,VERB
VERB,OBJECT
OTHER,OBJECT
VERB,OBJECT
AGENT,OBJECT
OTHER,OTHER
VERB,OBJECT
OTHER,OBJECT
AGENT,VERB
AGENT,OBJECT
VERB,OBJECT
AGENT,VERB
OTHER,OTHER
AGENT,OBJECT
AGENT,OBJECT
VERB,OBJECT
OTHER,OBJECT
AGENT,OBJECT
OTHER,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,OBJECT
AGENT,OBJECT
OTHER,OBJECT
VERB,OBJECT
AGENT,OBJECT
AGENT,OBJECT
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,VERB
OTHER,OBJECT
AGENT,VERB
OTHER,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,VERB
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
OBJECT,OTHER
VERB,OBJECT
AGENT,OBJECT
AGENT,OBJECT
VERB,OBJECT
OBJECT,OTHER
VERB,OBJECT
OBJECT,OTHER
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,VERB
AGENT,OBJECT
AGENT,OBJECT
VERB,OBJECT
OTHER,OBJECT
OTHER,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,OBJECT
AGENT,OBJECT
OTHER,OBJECT
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,OTHER
AGENT,OBJECT
AGENT,OTHER
AGENT,OBJECT
OTHER,OBJECT
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,OBJECT
AGENT,OBJECT
VERB,OBJECT
OTHER,OBJECT
OTHER,OBJECT
AGENT,VERB
AGENT,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,VERB
AGENT,VERB
AGENT,OTHER
OTHER,OTHER
AGENT,VERB
AGENT,OBJECT
OTHER,VERB
AGENT,VERB
AGENT,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,VERB
AGENT,VERB
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,VERB
AGENT,VERB
AGENT,OBJECT
OTHER,OTHER
VERB,OBJECT
VERB,OBJECT
OTHER,OTHER
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
OTHER,OBJECT
VERB,OBJECT
OBJECT,OTHER
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
OTHER,OBJECT
AGENT,OTHER
AGENT,OTHER
AGENT,VERB
VERB,OBJECT
AGENT,VERB
AGENT,OTHER
AGENT,VERB
OTHER,OTHER
AGENT,VERB
OTHER,OTHER
AGENT,VERB
VERB,OBJECT
OTHER,OTHER
OTHER,OTHER
VERB,OBJECT
VERB,OBJECT
AGENT,OTHER
VERB,OBJECT
OBJECT,OTHER
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,OBJECT
OBJECT,OTHER
VERB,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,OBJECT
OBJECT,VERB
AGENT,OBJECT
AGENT,OTHER
OBJECT,OTHER
VERB,OBJECT
AGENT,VERB
AGENT,VERB
VERB,OBJECT
OTHER,OTHER
AGENT,VERB
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,VERB
AGENT,VERB
OBJECT,OTHER
AGENT,OBJECT
OTHER,OBJECT
AGENT,VERB
OTHER,OTHER
OTHER,OBJECT
VERB,OBJECT
OBJECT,OTHER
AGENT,VERB
AGENT,OBJECT
AGENT,VERB
AGENT,OTHER
OTHER,OBJECT
OTHER,OBJECT
AGENT,VERB
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
OBJECT,OTHER
AGENT,VERB
VERB,OBJECT
AGENT,OBJECT
VERB,OBJECT
VERB,OBJECT
AGENT,VERB
AGENT,VERB
AGENT,OTHER
OTHER,OTHER
VERB,OBJECT
AGENT,OBJECT
AGENT,VERB
OTHER,OTHER
VERB,OBJECT
AGENT,VERB
VERB,OBJECT
VERB,OBJECT
OTHER,OTHER
AGENT,OBJECT
AGENT,OBJECT
OTHER,OTHER
VERB,OBJECT
AGENT,OBJECT
AGENT,OTHER
OTHER,OTHER
AGENT,OBJECT
AGENT,OBJECT
AGENT,OBJECT
AGENT,OBJECT
