1424644719724,paycode,itemNo,stimNo,verb,sentence,trialVersion,prepSentence,exposePicture,actionPicture,word1,word2,mistakeFlag,responseTime
1424645571809,eaf4826c4j0,0,4,READ,The boy reads the book.,agent,"In the next scene, there is a girl, a boy and a book.",http://tedlab.mit.edu/~mekline/Stimuli/SubDrop_SDPictures/READ-agent-expose.jpg,http://tedlab.mit.edu/~mekline/Stimuli/SubDrop_SDPictures/READ-agent-action.jpg,sdf,adsf,none,819.619
1424645711542,eaf4826c4j0,1,5,ROLL,The baby rolls the ball.,patient,"In the next scene, there is a tire, a baby and a ball.",http://tedlab.mit.edu/~mekline/Stimuli/SubDrop_SDPictures/ROLL-patient-expose.jpg,http://tedlab.mit.edu/~mekline/Stimuli/SubDrop_SDPictures/ROLL-patient-action.jpg,asfd,asfd,bad input,119.7
1424645766283,eaf4826c4j0,2,3,FEED,The girl feeds the dog.,agent,"In the next scene, there is a boy, a girl and a dog.",http://tedlab.mit.edu/~mekline/Stimuli/SubDrop_SDPictures/FEED-agent-expose.jpg,http://tedlab.mit.edu/~mekline/Stimuli/SubDrop_SDPictures/FEED-agent-action.jpg,asfd,asfd,none,34.707
1424645816585,eaf4826c4j0,3,2,EAT,The monkey eats the orange.,agent,"In the next scene, there is a duck, a monkey and an orange.",http://tedlab.mit.edu/~mekline/Stimuli/SubDrop_SDPictures/EAT-agent-expose.jpg,http://tedlab.mit.edu/~mekline/Stimuli/SubDrop_SDPictures/EAT-agent-action.jpg,asdf,asfd,none,29.26
1424645876934,eaf4826c4j0,4,6,WASH,The duck washes the bowl.,patient,"In the next scene, there is a spoon, a duck and a bowl.",http://tedlab.mit.edu/~mekline/Stimuli/SubDrop_SDPictures/WASH-patient-expose.jpg,http://tedlab.mit.edu/~mekline/Stimuli/SubDrop_SDPictures/WASH-patient-action.jpg,asdasfsadf,asdfasdf,none,40.321
1424645900939,eaf4826c4j0,5,1,DRINK,The grandma drinks juice.,patient,"In the next scene, there is some milk, a grandma and some juice.",http://tedlab.mit.edu/~mekline/Stimuli/SubDrop_SDPictures/DRINK-patient-expose.jpg,http://tedlab.mit.edu/~mekline/Stimuli/SubDrop_SDPictures/DRINK-patient-action.jpg,asdfasdfasf,asdf,none,3.974
