1.35E+12,paycode,itemNo,stimNo,verb,sentence,trialVersion,prepSentence,exposePicture,actionPicture,word1,word2,mistakeFlag,responseTime,word1_CODED,word2_CODED
1.35E+12,c225d112eaf0,1,2,EAT,Alexa eats the orange.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/EAT_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/EAT.jpg,afds,asf,none,114.873,OTHER,OTHER
1.35E+12,c225d112eaf0,0,4,READ,Sam reads the book.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/READ_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/READ.jpg,..,..,none,352.61,OTHER,OTHER
1.35E+12,c3cb2614b5a23,4,5,ROLL,Zack rolls the ball.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/ROLL_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/ROLL.jpg,group,items,none,7.196,OTHER,OTHER
1.35E+12,g21000ae7bi75,1,9,TOUCH,Mike touches the kitten.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/TOUCH_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/TOUCH.jpg,man,animals,none,6.735,OTHER,OTHER
1.35E+12,h17967ac64e96,1,5,ROLL,Zack rolls the ball.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/ROLL_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/ROLL.jpg,group,looking,none,35.962,OTHER,OTHER
1.35E+12,i13a5e2f60f50,0,6,WASH,Jenn washes the bowl.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/WASH_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/WASH.jpg,zach,smiles,bad input,51.797,OTHER,OTHER
1.35E+12,i1cebdd247h101,7,9,TOUCH,Mike touches the kitten.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/TOUCH_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/TOUCH.jpg,kick,pig,none,18.222,OTHER,OTHER
1.35E+12,i1cebdd247h101,11,6,WASH,Jenn washes the bowl.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/WASH_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/WASH.jpg,lick,plate,none,37.668,OTHER,OTHER
1.35E+12,i2c3095d87i41,0,5,ROLL,Zack rolls the ball.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/ROLL_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/ROLL.jpg,People,stand,bad input,60.699,OTHER,OTHER
1.35E+12,j3708afc66d65,11,3,FEED,John feeds the dog.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/FEED_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/FEED.jpg,Jenn,Laughed,none,39.644,OTHER,OTHER
1.35E+12,j3708afc66d65,7,12,HOLD,Amy holds the spoon.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/HOLD_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/HOLD.jpg,ron,stabs,none,10.595,OTHER,OTHER
1.35E+12,j3708afc66d65,4,5,ROLL,Zack rolls the ball.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/ROLL_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/ROLL.jpg,Sam,Kicks,none,10.681,OTHER,OTHER
1.35E+12,j3708afc66d65,1,6,WASH,Jenn washes the bowl.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/WASH_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/WASH.jpg,Zack,speaks,none,15.887,OTHER,OTHER
1.35E+12,a23fcf13ef142,4,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drank,juice,none,6.519,VERB,OBJECT
1.35E+12,a23fcf13ef142,8,10,DROP,Maria drops the newspaper.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DROP_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DROP.jpg,newspaper,dropped,none,7.2,OBJECT,VERB
1.35E+12,a23fcf13ef142,2,2,EAT,Alexa eats the orange.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/EAT_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/EAT.jpg,Alexis,eats,none,11.38,AGENT,VERB
1.35E+12,a23fcf13ef142,6,3,FEED,John feeds the dog.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/FEED_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/FEED.jpg,Dog,fed,none,8.133,OBJECT,VERB
1.35E+12,a23fcf13ef142,9,12,HOLD,Amy holds the spoon.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/HOLD_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/HOLD.jpg,held,spoon,none,8.556,VERB,OBJECT
1.35E+12,a23fcf13ef142,0,11,KICK,Emily kicks the tire.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/KICK_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/KICK.jpg,Emily,kicks,none,11.395,AGENT,VERB
1.35E+12,a23fcf13ef142,5,7,POUR,Ron pours the milk.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/POUR_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/POUR.jpg,ron,pours,none,5.658,AGENT,VERB
1.35E+12,a23fcf13ef142,11,4,READ,Sam reads the book.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/READ_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/READ.jpg,sam,reads,none,10.047,AGENT,VERB
1.35E+12,a23fcf13ef142,7,5,ROLL,Zack rolls the ball.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/ROLL_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/ROLL.jpg,Zack,rolled,none,9.076,AGENT,VERB
1.35E+12,a23fcf13ef142,10,8,THROW,Sue throws the bananas.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/THROW_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/THROW.jpg,bananas,thrown,none,7.831,OBJECT,VERB
1.35E+12,a23fcf13ef142,3,9,TOUCH,Mike touches the kitten.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/TOUCH_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/TOUCH.jpg,Petted,kitten,none,14.729,VERB,OBJECT
1.35E+12,a23fcf13ef142,1,6,WASH,Jenn washes the bowl.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/WASH_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/WASH.jpg,Jenn,washes,none,15.966,AGENT,VERB
1.35E+12,a25ef7e946a117,3,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,Drinks,juice,none,7.757,VERB,OBJECT
1.35E+12,a25ef7e946a117,2,10,DROP,Maria drops the newspaper.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DROP_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/DROP.jpg,Maria,drops,none,6.522,AGENT,VERB
1.35E+12,a25ef7e946a117,10,2,EAT,Alexa eats the orange.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/EAT_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/EAT.jpg,alexa,eats,none,7.238,AGENT,VERB
1.35E+12,a25ef7e946a117,4,3,FEED,John feeds the dog.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/FEED_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/FEED.jpg,dog,feed,none,7.136,OBJECT,VERB
1.35E+12,a25ef7e946a117,8,12,HOLD,Amy holds the spoon.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/HOLD_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/HOLD.jpg,spoon,held,none,6.904,OBJECT,VERB
1.35E+12,a25ef7e946a117,6,11,KICK,Emily kicks the tire.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/KICK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/KICK.jpg,tire,kicked,none,8.309,OBJECT,VERB
1.35E+12,a25ef7e946a117,5,7,POUR,Ron pours the milk.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/POUR_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/POUR.jpg,milk,poured,none,6.682,OBJECT,VERB
1.35E+12,a25ef7e946a117,0,4,READ,Sam reads the book.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/READ_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/READ.jpg,Sam,reads,none,9.53,AGENT,VERB
1.35E+12,a25ef7e946a117,7,5,ROLL,Zack rolls the ball.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/ROLL_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/ROLL.jpg,ball,rolls,none,7.085,OBJECT,VERB
1.35E+12,a25ef7e946a117,9,8,THROW,Sue throws the bananas.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/THROW_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/THROW.jpg,bananas,thrown,none,12.271,OBJECT,VERB
1.35E+12,a25ef7e946a117,1,9,TOUCH,Mike touches the kitten.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/TOUCH_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/TOUCH.jpg,Mike,kitten,none,8.631,AGENT,OBJECT
1.35E+12,a25ef7e946a117,11,6,WASH,Jenn washes the bowl.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/WASH_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/WASH.jpg,bowl,washed,none,6.451,OBJECT,VERB
1.35E+12,a30f37480fj103,3,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,6.895,VERB,OBJECT
1.35E+12,a30f37480fj103,4,10,DROP,Maria drops the newspaper.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DROP_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/DROP.jpg,maria,drops,none,5.85,AGENT,VERB
1.35E+12,a30f37480fj103,0,2,EAT,Alexa eats the orange.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/EAT_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/EAT.jpg,alexa,orange,none,7.994,AGENT,OBJECT
1.35E+12,a30f37480fj103,1,3,FEED,John feeds the dog.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/FEED_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/FEED.jpg,john,dogfood,none,11.311,AGENT,OTHER
1.35E+12,a30f37480fj103,8,12,HOLD,Amy holds the spoon.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/HOLD_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/HOLD.jpg,amy,spoon,none,5.765,AGENT,OBJECT
1.35E+12,a30f37480fj103,5,11,KICK,Emily kicks the tire.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/KICK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/KICK.jpg,emily,kicks,none,6.188,AGENT,VERB
1.35E+12,a30f37480fj103,11,7,POUR,Ron pours the milk.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/POUR_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/POUR.jpg,pours,milk,none,5.834,VERB,OBJECT
1.35E+12,a30f37480fj103,2,4,READ,Sam reads the book.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/READ_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/READ.jpg,sam,reads,none,6.879,AGENT,VERB
1.35E+12,a30f37480fj103,6,5,ROLL,Zack rolls the ball.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/ROLL_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/ROLL.jpg,zack,rolls,none,5.538,AGENT,VERB
1.35E+12,a30f37480fj103,10,8,THROW,Sue throws the bananas.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/THROW_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/THROW.jpg,sue,throws,none,5.917,AGENT,VERB
1.35E+12,a30f37480fj103,9,9,TOUCH,Mike touches the kitten.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/TOUCH_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/TOUCH.jpg,mike,touches,none,5.27,AGENT,VERB
1.35E+12,a30f37480fj103,7,6,WASH,Jenn washes the bowl.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/WASH_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/WASH.jpg,washes,bowl,none,6.167,VERB,OBJECT
1.35E+12,a34f17063ej16,1,1,DRINK,George drinks the juice.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,choose,drink,none,9.475,OTHER,OTHER
1.35E+12,a34f17063ej16,2,10,DROP,Maria drops the newspaper.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DROP_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/DROP.jpg,drop,newspaper,none,7.224,VERB,OBJECT
1.35E+12,a34f17063ej16,7,2,EAT,Alexa eats the orange.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/EAT_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/EAT.jpg,Alexa,eats,none,4.545,AGENT,VERB
1.35E+12,a34f17063ej16,10,3,FEED,John feeds the dog.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/FEED_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/FEED.jpg,feeding,pets,none,4.552,VERB,OTHER
1.35E+12,a34f17063ej16,4,12,HOLD,Amy holds the spoon.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/HOLD_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/HOLD.jpg,hold,utensil,none,7.722,VERB,OTHER
1.35E+12,a34f17063ej16,6,7,POUR,Ron pours the milk.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/POUR_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/POUR.jpg,waste,milk,none,5.435,OTHER,OBJECT
1.35E+12,a34f17063ej16,9,4,READ,Sam reads the book.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/READ_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/READ.jpg,reading,literature,none,5.005,VERB,OTHER
1.35E+12,a34f17063ej16,11,5,ROLL,Zack rolls the ball.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/ROLL_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/ROLL.jpg,play,ball,none,4.612,OTHER,OBJECT
1.35E+12,a34f17063ej16,5,8,THROW,Sue throws the bananas.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/THROW_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/THROW.jpg,throw,fruit,none,3.813,VERB,OTHER
1.35E+12,a34f17063ej16,3,9,TOUCH,Mike touches the kitten.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/TOUCH_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/TOUCH.jpg,pet,kitten,none,5.422,VERB,OBJECT
1.35E+12,a34f17063ej16,8,6,WASH,Jenn washes the bowl.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/WASH_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/WASH.jpg,washing,dishes,none,4.557,VERB,OTHER
1.35E+12,a376dccc4cj143,4,1,DRINK,George drinks the juice.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,drinks,juice,none,8.451,VERB,OBJECT
1.35E+12,a376dccc4cj143,5,10,DROP,Maria drops the newspaper.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DROP_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/DROP.jpg,drops,newspaper,none,7.278,VERB,OBJECT
1.35E+12,a376dccc4cj143,6,2,EAT,Alexa eats the orange.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/EAT_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/EAT.jpg,eats,orange,none,5.974,VERB,OBJECT
1.35E+12,a376dccc4cj143,0,3,FEED,John feeds the dog.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/FEED_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/FEED.jpg,feeds,dog,none,9.322,VERB,OBJECT
1.35E+12,a376dccc4cj143,3,12,HOLD,Amy holds the spoon.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/HOLD_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/HOLD.jpg,holds,spoon,none,8.949,VERB,OBJECT
1.35E+12,a376dccc4cj143,10,11,KICK,Emily kicks the tire.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/KICK_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/KICK.jpg,emily,kicks,none,5.665,AGENT,VERB
1.35E+12,a376dccc4cj143,8,7,POUR,Ron pours the milk.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/POUR_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/POUR.jpg,pours,milk,none,5.322,VERB,OBJECT
1.35E+12,a376dccc4cj143,11,4,READ,Sam reads the book.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/READ_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/READ.jpg,sam,book,none,5.328,AGENT,OBJECT
1.35E+12,a376dccc4cj143,7,5,ROLL,Zack rolls the ball.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/ROLL_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/ROLL.jpg,rolls,ball,none,4.994,VERB,OBJECT
1.35E+12,a376dccc4cj143,2,8,THROW,Sue throws the bananas.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/THROW_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/THROW.jpg,jenna,ats,bad input,27.754,OTHER,OTHER
1.35E+12,a376dccc4cj143,1,9,TOUCH,Mike touches the kitten.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/TOUCH_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/TOUCH.jpg,touches,kitten,none,6.678,VERB,OBJECT
1.35E+12,a376dccc4cj143,9,6,WASH,Jenn washes the bowl.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/WASH_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/WASH.jpg,washes,bowl,none,6.53,VERB,OBJECT
1.35E+12,a380ac904ba48,7,1,DRINK,George drinks the juice.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,George,Juice,none,5.655,AGENT,OBJECT
1.35E+12,a380ac904ba48,4,10,DROP,Maria drops the newspaper.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DROP_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/DROP.jpg,Maria,Drops,none,5.769,AGENT,VERB
1.35E+12,a380ac904ba48,8,2,EAT,Alexa eats the orange.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/EAT_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/EAT.jpg,Alexa,Orange,none,7.635,AGENT,OBJECT
1.35E+12,a380ac904ba48,6,3,FEED,John feeds the dog.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/FEED_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/FEED.jpg,John,Feeds,none,6.719,AGENT,VERB
1.35E+12,a380ac904ba48,0,12,HOLD,Amy holds the spoon.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/HOLD_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/HOLD.jpg,Amy,Spoon,none,8.579,AGENT,OBJECT
1.35E+12,a380ac904ba48,9,11,KICK,Emily kicks the tire.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/KICK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/KICK.jpg,Emily,Tire,none,5.779,AGENT,OBJECT
1.35E+12,a380ac904ba48,1,7,POUR,Ron pours the milk.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/POUR_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/POUR.jpg,Ron,Milk,none,8.533,AGENT,OBJECT
1.35E+12,a380ac904ba48,3,4,READ,Sam reads the book.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/READ_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/READ.jpg,Sam,Book,none,5.088,AGENT,OBJECT
1.35E+12,a380ac904ba48,5,5,ROLL,Zack rolls the ball.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/ROLL_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/ROLL.jpg,Zach,Rolls,none,7.479,AGENT,VERB
1.35E+12,a380ac904ba48,10,8,THROW,Sue throws the bananas.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/THROW_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/THROW.jpg,Sue,Bananas,none,7.1,AGENT,OBJECT
1.35E+12,a380ac904ba48,11,9,TOUCH,Mike touches the kitten.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/TOUCH_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/TOUCH.jpg,Mike,Kitten,none,4.917,AGENT,OBJECT
1.35E+12,a380ac904ba48,2,6,WASH,Jenn washes the bowl.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/WASH_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/WASH.jpg,Washes,Bowl,none,6.31,VERB,OBJECT
1.35E+12,a3a1b02ba4h52,10,1,DRINK,George drinks the juice.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/DRINK_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/DRINK.jpg,george,drinks,none,58.907,AGENT,VERB
