1.35E+12,paycode,itemNo,stimNo,verb,sentence,trialVersion,prepSentence,exposePicture,actionPicture,word1,word2,mistakeFlag,responseTime,word1_CODED,word2_CODED
1.35E+12,a34f17063ej16,0,11,KICK,Emily kicks the tire.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/KICK_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/KICK.jpg,see,trash,bad input,14.96,OTHER,OTHER
1.35E+12,b158b3ad37c133,0,5,ROLL,Zack rolls the ball.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/ROLL_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/ROLL.jpg,pick,object,bad input,37.754,OTHER,OTHER
1.35E+12,c10344ccai47,8,2,EAT,Alexa eats the orange.,6_1,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/EAT_6_1.jpg,http://REDACTED.edu/REDACTED/MDPictures/EAT.jpg,good,good,bad input,24.492,OTHER,OTHER
1.35E+12,c10344ccai47,0,3,FEED,John feeds the dog.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/FEED_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/FEED.jpg,good,sat,bad input,74.882,OTHER,OTHER
1.35E+12,c10344ccai47,10,12,HOLD,Amy holds the spoon.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/HOLD_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/HOLD.jpg,bad,bad,bad input,41.653,OTHER,OTHER
1.35E+12,c10344ccai47,9,11,KICK,Emily kicks the tire.,2_5,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/KICK_2_5.jpg,http://REDACTED.edu/REDACTED/MDPictures/KICK.jpg,play,play,bad input,42.402,OTHER,OTHER
1.35E+12,c10344ccai47,1,7,POUR,Ron pours the milk.,1_6,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/POUR_1_6.jpg,http://REDACTED.edu/REDACTED/MDPictures/POUR.jpg,good,sat,bad input,60.2,OTHER,OTHER
1.35E+12,c10344ccai47,5,4,READ,Sam reads the book.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/READ_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/READ.jpg,sad,sad,bad input,27.458,OTHER,OTHER
1.35E+12,c10344ccai47,3,5,ROLL,Zack rolls the ball.,4_3,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/ROLL_4_3.jpg,http://REDACTED.edu/REDACTED/MDPictures/ROLL.jpg,good,good,none,21.749,OTHER,OTHER
1.35E+12,c10344ccai47,11,8,THROW,Sue throws the bananas.,5_2,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/THROW_5_2.jpg,http://REDACTED.edu/REDACTED/MDPictures/THROW.jpg,bad,bad,bad input,54.888,OTHER,OTHER
1.35E+12,c10344ccai47,7,9,TOUCH,Mike touches the kitten.,3_4,Get ready for the next presentation scene!,http://REDACTED.edu/REDACTED/MDPictures/TOUCH_3_4.jpg,http://REDACTED.edu/REDACTED/MDPictures/TOUCH.jpg,joy,joy,none,21.34,OTHER,OTHER
