Tester,Design,Experiment,Condition,Correct,Initial,Subject #,Gender,Video Name,Days.Old,Age.Years,Age.Months,Condition,Trial A Verb,Trial A Condition,Trial A First Puppet,Trial A First Side (self!),Trial A First Sentence,Trial A Second Puppet,Trial A Second Side (self!),Trial A Second Sentence,Kid Response A (Striped/Dots),Kid Response A - Prag Choice?,Trial B Verb,Trial B Condition,Trial B First Puppet,Trial B First Side (self!),Trial B First Sentence,Trial B Second Puppet,Trial B Second Side (self!),Trial B Second Sentence,Kid Response B (Striped/Dots),Kid Response B - Prag Choice?,Trial C Verb,Trial C Condition,Trial C First Puppet,Trial C First Side (self!),Trial C First Sentence,Trial C Second Puppet,Trial C Second Side (self!),Trial C Second Sentence,Kid Response C (Striped/Dots),Kid Response C - Prag Choice?,Trial D Verb,Trial D Condition,Trial D First Puppet,Trial D First Side (self!),Trial D First Sentence,Trial D Second Puppet,Trial D Second Side (self!),Trial D Second Sentence,Kid Response D (Striped/Dots),Kid Response D - Prag Choice?,Notes,Feedback on trial 1? (Immediately after point)
Melanie,Within-4trials,ParentSecretControl2,ODSD,2,E,282,F,subject_drop_060915_02.mpg,1132,3,1,ODSD,Eat,OD,Stripes,right,monkey eat,dots,left,duck eat,N/A,N/A,pet,OD,stripes,left,boy pet,dots,right,girl pet,dots,girl pet,roll,SD,white,right,roll tire,black,left,roll ball,white,roll tire,read,SD,red,right,read book,yellow,left,read newspaper,red,read book,She doesn't answer the first question. Twice helps show the puppet to my left what's under the flap by picking up the cup. When I ask her a second time to choose I point to both cups but pointed to the cup to my right first. She thinks for a bit and picks that cup. ,"That's ok, we can try another story. In second question I said That one? Ok. Great!"
Melanie,Within-4trials,ParentSecretControl2,SDOD,2,M,283,F,subject_drop_060915_03.mpg,1188,3,3,SDOD,Eat,SD,stripes,right,eat orange,dots,left,eat banana,stripes,eat banana,pet,SD,stripes,left,pet cat,dots,right,pet dog,dots,pet dog,roll,OD,white,right,grandma roll,black,left,baby roll,black,baby roll,read,OD,yellow,left,boy read,red,right,girl read,red,girl read,On the last question the brother that was also in the room said which puppet he thought was right first and then quickly she disagreed and said she thought the other one was right and gave a clear point.  ,That one? Ok!
Melanie,Within-4trials,ParentSecretControl2,ODSD,0,V,284,F,subejct_drop_060915_04.mpg,1425,3,10,ODSD,Eat,OD,stripes,right,monkey eat,dots,left,duck eat,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,She was shy and never answered. The family spoke another language besides english and her brother kept taking my muppets. They left in the middle of the study. ,"That's ok, we can try another story"
Melanie,Within-4trials,ParentSecretControl2,SDOD,2,R,285,F,subject_drop_061315_01.mpg,1272,3,5,SDOD,Eat,SD,stripes,right,eat orange,dots,left,eat banana,dots,eat banana,pet,SD,white,left,pet cat,black,right,pet dog,black,pet dog,roll,OD,stripes,right,grandma roll,dots,left,baby roll,dots,baby roll,read,OD,red,left,boy read,yellow,right,girl read,yellow,girl read,Great session. At one point she picked both puppets because she said they were both correct. I asked her if she had to pick just one to be correct which one would it be and she clearly picked one. Her choice is very clear in the video. ,"Ok, cool!"
Melanie,Within-4trials,ParentSecretControl2,SDOD,2,A,288,M,subject_drop_061315_04.mpg,1403,3,10,SDOD,Eat,SD,dots,right,eat orange,stripes,left,eat banana,stripes,eat banana,pet,SD,white,left,pet cat,black,right,pet dog,white,pet cat,roll,OD,stripes,right,grandma roll,dots,left,baby roll,dots,baby roll,read,OD,yellow,left,boy read,red,right,girl read,yellow,boy read,He was great. Always picked the muppet to my left. ,That one? Ok!
Melanie,Within-4trials,ParentSecretControl2,ODSD,4,M,289,F,subject_drop_061915_01.mpg,1820,4,11,ODSD,Eat,OD,stripes,right,monkey eat,dots,left,duck eat,stripes,monkey eat,pet,OD,stripes,left,boy pet,dots,right,girl pet,dots,girl pet,roll,SD,red,right,roll tire,yellow,left,roll ball,yellow,roll ball,read,SD,black,left,read book,white,right,read newspaper,black,read book,"Great session. Took a minute or two to begin the study because mom was getting her brother settled in. In addition, the video slate number is different from the correct subject number. ",That one? Ok!
Melanie,Within-4trials,ParentSecretControl2,SDOD,4,M,290,F,subject_drop_061915_02.mpg,1529,4,2,SDOD,Eat ,SD,stripes,right,eat orange,dots,left,eat banana,stripes,eat orange,pet ,SD,black,left,pet cat,white,right,pet dog,white,pet dog,roll,OD,stripes,right,grandma roll,dots,left,baby roll,dots,baby roll,read,OD,yellow,left,boy read,red,right,girl read,yellow,boy read,Great session. The video slate number is different from the correct subject number. ,That one? Ok!
Melanie,Within-4trials,ParentSecretControl2,SDOD,4,N,292,M,subject_drop_062315_01.mpg,1112,3,0,SDOD,Eat,SD,dots,right,eat orange,stripes,left,eat banana,dots,eat orange,pet,SD,white,left,pet cat,black,right,pet dog,black,pet dog,roll,OD,yellow,right,grandma roll,red,left,baby roll,red,baby roll,read,OD,dots,left,boy read,stripes,right,girl read,dots,boy read,Great session. Sometimes pointed to his mom when asked to answer but after being asked again he would choose a muppet. ,Ok!
Melanie,Within-4trials,ParentSecretControl2,ODSD,3,M,293,F,subject_drop_062315_02.mpg,1351,3,8,ODSD,Eat,OD,dots,right,monkey eat,stripes,left,duck eat,dots,monkey eat,pet,OD,white,left,boy pet,black,right,girl pet,black,girl pet,roll,SD,yellow,right,roll tire,red,left,roll ball,red,roll ball,read,SD,dots,left,read book,stripes,right,read newspaper,stripes,read newspaper,Great session.,That one? Ok!
Melanie,Within-4trials,ParentSecretControl2,SDOD,2,J,294,M,subject_drop_062315_03.mpg,1361,3,8,SDOD,Eat ,SD,stripes,right,eat orange,dots,left,eat banana,dots,eat banana,pet,SD,white,left,pet cat,black,right,pet dog,white,pet cat,roll,OD,red,right,grandma roll,yellow,left,baby roll,yellow,baby roll,read,OD,stripes,left,boy read,dots,right,girl read,stripes,boy read,"There was a bit of distraction because there were a few people in the room. I had to re-position my binder and one muppet in the first trial was a bit closer to him. He always chose the muppet to my left. In addition, the first video slate seen in the video is not the correct subject. A few seconds into the video a second video slate appears with the correct subject's name. ",That one? Ok!
Melanie,Within-4trials,ParentSecretControl2,ODSD,3,A,295,F,subject_drop_062315_04.mpg,1663,4,6,ODSD,Eat,OD,stripes,right,monkey eat,dots,left,duck eat,dots,duck eat,pet,OD,white,left,boy pet,black,right,girl pet,black,girl pet,roll,SD,dots,right,roll tire,stripes,left,roll ball,stripes,roll ball,read,SD,yellow,left,read book,red,right,read newspaper,yellow,read book,Great session. In one trial she said she picked a muppet as the correct answer because it had stripes. ,That one? Ok!
Melanie,Within-4trials,ParentSecretControl2,SDOD,1,P,296,F,subject_drop_062715_01.mpg,1208,3,3,SDOD,Eat ,SD,dots,right,eat orange,stripes,left,eat banana,stripes,eat banana,pet,SD,white,left,pet cat,black,right,pet dog,white,pet cat,roll,OD,dots,right,grandma roll,stripes,left,baby roll,dots,grandma roll,read,OD,yellow,left,boy read,red,right,girl read,yellow,boy read,"Good session. I once said ""there's  a cat"" when in fact there was a girl, i quickly correctef myself. In 1 trial she wanted to flip through the book so she might have been a bit distracted when she answered in that trial.  Wasn't able to make her come around and look at the flap because she prefered my original seat so we switched seats. ",That one? Ok!
Melanie,Within-4trials,ParentSecretControl2,ODSD,3,G,297,M,subject_drop-062715_02.mpg,1711,4,8,ODSD,Eat,OD,dots,right,monkey eat,stripes,left,duck eat,dots,monkey eat,pet,OD,stripes,left,boy pet,dots,right,girl pet,dots,girl pet,roll,SD,white,right,roll tire,black,left,roll ball,white,roll tire,read,SD,yellow,left,read book,red,right,read newspaper,yellow,read book,In the log in notebook I wrote SDOD but the correct condition is ODSD. Forgot to make him come around and look at the flap. ,That one? Ok!
Melanie,Within-4trials,ParentSecretControl2,ODSD,4,K,300,F,subject_drop_070715_01.mpg,1177,3,2,ODSD,Eat,OD,dots,right,monkey eat,stripes,left,duck eat,dots,monkey eat,pet,OD,white,left,boy pet,black,right,girl pet,black,girl pet,roll ,SD,stripes,right,roll tire,dots,left,roll ball,dots,roll ball,read,SD,red,left,read book,yellow,right,read newspaper,red,read book,Great Session.,That one? Ok!
Melanie,Within-4trials,ParentSecretControl2,ODSD,2,L,302,M,subject_drop_070715_03.mpg,1762,4,9,ODSD,Eat,OD,dots,right,monkey eat,stripes,left,duck eat,dots,monkey eat,pet,OD,white,left,boy pet,black,right,girl pet,white,boy pet,roll,SD,stripes,right,roll tire,dots,left,roll ball,stripes,roll tire,read,SD,yellow,right,read book,red,left,read newspaper,red,read newspaper,"Good session. He picked both puppets as the correct answer in a trial but then picked one. In addition, between two trials I forgot to alternate which muppet spoke first. ",
Melanie,Within-4trials,ParentSecretControl2,SDOD,2,B,303,M,subject_drop-070715_04.mpg,1158,3,2,SDOD,Eat,SD,dots,right,eat orange,stripes,left,eat banana,stripes,eat banana,pet,SD,white,left,pet dog,black,right,pet cat,black,pet cat,roll,OD,stripes,right,grandma roll,dots,left,baby roll,dots,baby roll,read,OD,red,left,boy read,yellow,right,girl read,red,boy read,Had a hard time getting the participant to choose a muppet.,That one? Ok!
Melanie,Within-4trials,ParentSecretControl2,ODSD,1,E,304,M,subject_drop_070715_05.mpg,1158,3,2,ODSD,Eat,OD,stripes,right,monkey eat,dots,left,duck eat,N/A,N/A,pet,OD,black,left,boy pet,white,right,girl pet,black,boy pet,roll,SD,yellow,right,roll tire,red,left,roll ball,red,roll ball,read,SD,stripes,left,boy read,dots,right,read newspaper,dots,read newspaper,"Had a hard time getting the participant to choose a muppet. In most trial he picked both and then picked just one. He did not pick any on the first trial. In addition,  in the last trial I said ""boy read"" and quickly corrected myself and said ""read book"". ","It's ok, you don't have to choose. We can go to our second story!"
Melanie,Within-4trials,ParentSecretControl2,SDOD,3,N,305,M,subject_drop_071115_01.mpg,1114,3,0,SDOD,Eat,SD,dots,right,eat orange,stripes,left,eat banana,stripes,eat banana,pet,SD,white,left,pet cat ,black,right,pet dog,black,pet dog,roll,OD,yellow,right,grandma roll,red,left,baby roll,red,baby roll,read,OD,dots,left,boy read,stripes,right,girl read,dots,boy read,"Good session. The grownup prompted him to answer and politely asked if I could use the word ""correct"" instead of ""right"" since it's the one her child knows. ",That one? Ok!
Melanie,Within-4trials,ParentSecretControl2,ODSD,4,C,306,F,subject_drop_071115_02.mpg,1780,4,10,ODSD,Eat,OD,dots,right,monkey eat,stripes,left,duck eat,dots,monkey eat,pet,OD,black,left,boy pet,white,right,girl pet,white,girl pet,roll,SD,red,right,roll tire,yellow,left,roll ball,yellow,roll ball,read,SD,stripes,left,read book,dots,right,read newspaper,stripes,read book,Great session. ,That one? Ok!
Melanie,Within-4trials,ParentSecretControl2,SDOD,3,A,309,F,subject_drop_071215_02.mpg,1274,3,5,SDOD,Eat,SD,dots,right,eat orange,stripes,left,eat banana,dots,eat orange,pet,SD,white,left,pet cat,black,right,pet dog,black,pet dog,roll,OD,dots,left,grandma roll,stripes,left,baby roll,stripes,baby roll,read,OD,red,right,boy read,yellow,left,girl read,yellow,girl read,Great session. I forgot to alternate which muppet speaks first between two trials. ,That one? Ok!
Melanie,Within-4trials,ParentSecretControl2,ODSD,0,L,310,M,subject_drop_071215_03.mpg,1316,3,7,ODSD,Eat,OD,dots,right,monkey eat,stripes,left,duck eat,N/A,N/A,pet ,OD,white,left,boy pet,black,right,girl pet,N/A,N/A,roll,SD,red,right,roll tire,yellow,left,roll ball,N/A,N/A,read,OD,dots,left,read book,stripes,right,read newspaper,N/A,N/A,Participant listened but didn't reply.,"It's ok, we can go to our second story!"
