Experimenter,Design,Experiment,Condition,Correct,Subject #,Gender,Video Name,Days.Old,Age.Years,Age.Months,Condition,Trial A Verb,Trial A Condition,Trial A First Puppet,Trial A First Side (self!),Trial A First Sentence,Trial A Second Puppet,Trial A Second Side (self!),Trial A Second Sentence,Kid Response A (Striped/Dots),Kid Response A - Prag Choice?,Trial B Verb,Trial B Condition,Trial B First Puppet,Trial B First Side (self!),Trial B First Sentence,Trial B Second Puppet,Trial B Second Side (self!),Trial B Second Sentence,Kid Response B (Striped/Dots),Kid Response B - Prag Choice?,Trial C Verb,Trial C Condition,Trial C First Puppet,Trial C First Side (self!),Trial C First Sentence,Trial C Second Puppet,Trial C Second Side (self!),Trial C Second Sentence,Kid Response C (Striped/Dots),Kid Response C - Prag Choice?,Trial D Verb,Trial D Condition,Trial D First Puppet,Trial D First Side (self!),Trial D First Sentence,Trial D Second Puppet,Trial D Second Side (self!),Trial D Second Sentence,Kid Response D (Striped/Dots),Kid Response D - Prag Choice?,Notes,Feedback on trial 1? (Immediately after point),Include subject - ORIG,ReasonORIG,,CheckParadigm - NameItems,CheckParadigm - PuppetsLook,Notes,Muppet intro?,Final.Include,Final.Reason
Jenny,Between-2trials,ParentSecret,SD,1,1,F,subject_drop_040414_01.mpg,1895,5,2,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,red shirt,left,girl pet,yellow shirt,right,pet dog,red shirt,girl pet,,,,,,,,,,,,,,,,,,,,,,Great! Good job.,1,,,"3x, 2x",yes,uh -oh! 'muppets and say 3 items after too!,y,1,
Jenny,Between-2trials,ParentSecret,SD,2,2,M,subject_drop_040414_02.mpg,2436,6,8,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,red shirt,left,girl pet,yellow shirt,right,pet dog,yellow shirt,pet dog,,,,,,,,,,,,,,,,,,,,,,"subject said orange. This one? Great, good job.",1,,,"2x, 1x",yes,uh oh!,y,1,
Jenny,Between-2trials,ParentSecret,SD,2,3,F,subject_drop_040414_03.mpg,2269,6,2,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,yellow shirt,left,girl pet,red shirt,right,pet dog,red shirt,pet dog,,,,,,,,,,,,,,,,,,,,,switched around position of muppets in trial B ,good job.,1,,,2x,"yes, no",uh oh!  Named items fter items also; only showed puppets explicitly on t1,y,1,
Jenny,Between-2trials,ParentSecret,SD,2,4,,subject_drop_040414_04.mpg,2498,6,10,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,yellow shirt,left,girl pet,red shirt,right,pet dog,red shirt,pet dog,,,,,,,,,,,,,,,,,,,,,switched around position of muppets in trial B ,That's right.,0,ExpError,,,,,,0,ExpError
Jenny,Between-2trials,ParentSecret,SD,2,5,F,subject_drop_040414_05.mpg,1991,5,5,SD,Eat,SD,dots,right ,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,yellow shirt,left,girl pet,red shirt,right,pet dog,red shirt,pet dog,,,,,,,,,,,,,,,,,,,,,switched around position of muppets on trial B ,good job.,1,,,"3x, 1x",yes,uh oh!,y,1,
Jenny,Between-2trials,ParentSecret,SD,1,6,,subject_drop_040414_06.mpg,1991,5,5,SD,Eat,SD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,SD,red shirt,left,girl pet,yellow shirt,right,pet dog,red shirt,girl pet,,,,,,,,,,,,,,,,,,,,,,This one? Eat orange? That's right.,0,ExpError,,,,,,0,ExpError
Jenny,Between-2trials,ParentSecret,OD,1,7,,subject_drop_040414_07.mpg,1602,4,4,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,yellow shirt,left,girl pet,red shirt,right,pet dog,red shirt,pet dog,,,,,,,,,,,,,,,,,,,,,switched around position of muppets on trial B ,"This one? Monkey eat, right?",0,ExpError,,,,,,0,ExpError
Jenny,Between-2trials,ParentSecret,OD,2,8,,subject_drop_040414_08.mpg,2200,6,0,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,red shirt,left,girl pet,yellow shirt,right,pet dog,red shirt,girl pet,,,,,,,,,,,,,,,,,,,,,,This one? Monkey eat? That's right.,0,ExpError,,,,,,0,ExpError
Jenny,Between-2trials,ParentSecret,OD,1,9,,subject_drop_040514_01.mpg,1513,4,1,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,yellow shirt,left,girl pet,red shirt,right,pet dog,red shirt,pet dog,,,,,,,,,,,,,,,,,,,,,switched around position of muppets on trial B ,That's right!,0,,,,,,,0,ExpError
Jenny,Between-2trials,ParentSecret,OD,1,10,M,subject_drop_040514_02.mpg,1146,3,1,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,yellow shirt,left,girl pet,red shirt,right,pet dog,yellow shirt,girl pet,,,,,,,,,,,,,,,,,,,,,,Good job!,1,,,1x,yes,uh oh!,y,1,
Jenny,Between-2trials,ParentSecret,OD,1,11,F,subject_drop_040514_03.mpg,1669,4,6,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes ,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,used a different set of muppets for trial B,mm-hmm.,1,,,1x,yes,uh oh!,y,1,
Jenny,Between-2trials,ParentSecret,OD,2,12,,subject_drop_041114_01.mpg,2191,6,0,OD,Eat,OD,dots,right,monkey eat,stripes,left ,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,used a different set of muppets for trial B,That's right.,0,ExpError,,,,,,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,2,13,F,subject_drop_041114_02.mpg,1786,4,10,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes ,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,This one? Monkey eat? Good job.,1,,,1x,"yes, no",uh oh!,y,1,
Jenny,Between-2trials,ParentSecret,OD,0,14,F,subject_drop_041114_03.mpg,2328,6,4,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,stripes,eat orange,Pet,OD,stripes,left,girl pet,dots,right,pet dog,dots,pet dog,,,,,,,,,,,,,,,,,,,,,,That one? Eat orange? Alright.,1,,,1x,no,uh oh!,y,0,ExpErrorJ
Jenny,Between-2trials,ParentSecret,OD,2,15,M,subject_drop_041114_04.mpg,2302,6,3,OD,Eat,OD,dots,right,monkey eat,stripes,left,eat orange,dots,monkey eat,Pet,OD,stripes,left,girl pet,dots,right,pet dog,stripes,girl pet,,,,,,,,,,,,,,,,,,,,,,Great. Good job!,1,,,1x,"yes, no",uh oh! On 1st trial only,y,1,
